Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
reactortornode,UA,58263,128,78.109.23.1,tornode.torreactor.ml,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-12-18,HOSTING-AS http://hosting.ua- UA,41665,146000,None
hviv104,NL,49816,500,192.42.116.16,tor-exit.hartvoorinternetvrijheid.nl,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2014-04-09,IP-EEND-AS IP-EEND BV- NL,1101,184000,None
0x3d004,DE,48768,487,62.138.7.171,snowden.pep-security.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2016-08-24,PLUSSERVER-AS- DE,8972,227000,None
chulak,RO,46328,838,176.126.252.11,chulak.enn.lu,9001,443,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-04-09,ALISTAR-AS- RO,60118,107000,[2a02:59e0:0:7::11]:9003
poiuty,FR,42496,816,5.39.64.7,ns3060920.ip-5-39-64.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-01-26,OVH - FR,16276,201000,[2001:41d0:8:8007::]:9001
calliprhugenasty09,NL,40823,2276,46.166.148.176,46.166.148.176,8080,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-10-17,NFORCE - NL,43350,113000,None
cry,NL,38577,298,192.42.115.101,cry.ip-eend.nl,9003,8080,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-04-22,SURFNET-NL SURFnet- The Netherlands- NL,1103,183000,[2001:610:510:115:192:42:115:101]:9003
calliprhugenasty10,NL,36436,2276,46.166.148.177,46.166.148.177,8081,9031,0,1,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-10-17,NFORCE - NL,43350,105000,None
redjohn1,FR,35338,261,62.210.92.11,redjohn.tk,9101,9130,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-12-09,AS12876- FR,12876,145000,[2001:bc8:338c::1]:9101
Hermes,FR,34885,552,62.210.245.158,hermes.exit.torworld.org,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-09-30,AS12876- FR,12876,104000,None
dopper,NL,34425,298,192.42.113.102,freedom.ip-eend.nl,9001,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-04-22,SURFNET-NL SURFnet- The Netherlands- NL,1103,130000,None
orion,LU,34362,838,94.242.246.24,orion.enn.lu,8080,23,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-04-29,ROOT- LU,5577,128000,[2a01:608:ffff:ff07::1:24]:9004
aurora,RO,32577,838,176.126.252.12,aurora.enn.lu,8080,21,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-04-09,ALISTAR-AS- RO,60118,76600,[2a02:59e0:0:7::12]:81
torfa,HU,32217,1424,79.172.193.32,toreador.webenlet.hu,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2017-01-05,DENINET-HU-AS- HU,29278,83500,None
apx2,NL,31859,550,185.38.14.171,tor-exit.r2.apx.pub,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.1.0-alpha-dev on Linux,0,0,2015-02-02,YISP-AS - NL,58073,65700,None
inky,CH,31296,453,82.220.89.53,dynamic-82-220-89-53.ftth.solnet.ch,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-11-15,SOLNET- CH,9044,127000,None
Binder0,SC,30589,1452,185.165.168.196,185.165.168.196,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2017-02-08,FLOKINET - RO,200651,89700,None
redjohn,FR,29801,261,62.210.92.11,redjohn.tk,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-11-17,AS12876- FR,12876,147000,[2001:bc8:338c::1]:9001
csailmitexit,US,29765,147,128.52.128.105,tor-exit.csail.mit.edu,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on FreeBSD,0,0,2013-10-02,MIT-GATEWAYS - Massachusetts Institute of Technology- US,3,55800,None
destiny,LU,29591,838,94.242.246.23,destiny.enn.lu,9001,443,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-04-29,ROOT- LU,5577,110000,[2a01:608:ffff:ff07::1:23]:9003
apx1,NL,29093,550,185.38.14.215,tor-exit.r1.apx.pub,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.1.0-alpha-dev on Linux,0,0,2014-11-04,YISP-AS- NL,58073,55000,None
Onyx,NL,28357,298,192.42.115.102,onyx.ip-eend.nl,9004,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-04-22,SURFNET-NL SURFnet- The Netherlands- NL,1103,115000,[2001:610:510:115:192:42:115:102]:9004
romi,RO,27913,1167,185.100.87.143,185.100.87.143,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2017-02-02,FLOKINET - RO,200651,62300,None
hessel2,RO,27815,758,109.163.234.5,hessel3.torservers.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2016-09-02,VOXILITY- RO,3223,113000,None
edwardsnowden1,RO,27356,758,109.163.234.8,edwardsnowden1.torservers.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2016-11-15,VOXILITY- RO,3223,115000,None
tollana,SK,27211,838,85.248.227.164,tollana.enn.lu,9002,444,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-01-22,GTS-SK-AS Bratislava- Slovak Republic- CZ,5578,60300,[2a00:1298:8011:212::164]:9004
amazonas,NL,27200,750,77.247.181.163,lumumba.torservers.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2014-02-13,NFORCE- NL,43350,58500,[2a00:1768:1001:21::32a3:201a]:443
IPredator,LR,26129,48,197.231.221.211,exit1.ipredator.se,443,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.0.3-alpha on FreeBSD,0,0,2014-04-19,CYBERDYNE- LR,37560,119000,None
0x3d001,FR,25760,487,91.121.23.100,0x3d.lu,8001,8030,0,0,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2016-05-31,OVH- FR,16276,62000,None
0x3d002,FR,25519,487,91.121.23.100,0x3d.lu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2014-04-22,OVH- FR,16276,81200,None
politkovskaja2,NL,25191,750,77.247.181.165,politkovskaja.torservers.net,110,None,0,1,1,1,0,1,1,1,0,Tor 0.3.0.4-rc on Linux,0,0,2014-02-13,NFORCE- NL,43350,54900,None
MilesPrower,FR,25042,931,62.210.129.246,relay1.tor.openinternet.io,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-01-28,AS12876- FR,12876,83500,None
politkovskaja,NL,24994,750,77.247.181.165,politkovskaja.torservers.net,443,None,0,1,1,1,0,1,1,1,0,Tor 0.3.0.4-rc on Linux,0,0,2014-02-13,NFORCE- NL,43350,54400,None
porthill,DE,24898,767,136.243.176.148,static.148.176.243.136.clients.your-server.de,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-02-03,HETZNER-AS- DE,24940,88700,None
quadhead,DE,24299,53,148.251.190.229,tor3.quadhead.de,9010,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-01-19,HETZNER-AS- DE,24940,99800,[2a01:4f8:211:c68::2]:9010
Unnamed,FR,24015,5533,46.105.100.149,secreto21.idfnv.net,9001,None,0,1,1,1,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2016-08-21,OVH- FR,16276,76200,None
kree,SK,23691,838,85.248.227.165,85.248.227.165,9003,445,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-05-16,GTS-SK-AS Bratislava- Slovak Republic- CZ,5578,49500,[2a00:1298:8011:212::165]:9005
x76slvferal2,GB,23232,1539,185.21.216.157,thisis.feralhosting.com,9003,9004,0,0,1,1,0,1,1,1,1,Tor 0.3.0.3-alpha on Linux,0,0,2016-10-03,FERAL Feral Hosting- GB,200052,94200,None
apx3,NL,23211,550,37.220.35.202,tor-exit.r3.apx.pub,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.1.0-alpha-dev on Linux,0,0,2015-07-26,YISP-AS- NL,58073,52100,None
Alastor,FR,23143,1035,62.210.123.24,62-210-123-24.rev.poneytelecom.eu,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-03-01,AS12876 - FR,12876,87600,[2001:bc8:30c6:100::dead]:443
hessel0,RO,22343,758,109.163.234.2,hessel0.torservers.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2016-09-02,VOXILITY- RO,3223,79100,None
redteam01,US,22340,1166,209.222.77.220,tor-relay.redteam.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-08-28,ST-BGP - Sharktech- US,46844,123000,None
3cce3a91f6a625,NL,22003,509,85.145.173.31,31-173-145-85.ftth.glasoperator.nl,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2014-04-12,TMOBILE-THUIS- NL,50266,119000,None
memcpy,FR,21979,1388,163.172.67.180,tor-exit-readme.memcpy.io,8081,8082,0,1,1,1,0,1,1,1,1,Tor 0.3.0.3-alpha on Linux,0,0,2016-11-09,AS12876- FR,12876,94500,None
PhantomTrain4,US,21943,642,65.19.167.131,65.19.167.131,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-12-11,HURRICANE - Hurricane Electric- Inc.- US,6939,49700,None
anonymiton,DE,21884,410,138.201.132.17,static.17.132.201.138.clients.your-server.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-08-13,HETZNER-AS - DE,24940,69500,None
MariaBonita,GB,21408,2920,139.59.172.93,139.59.172.93,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-05-04,DIGITALOCEAN-ASN-2 - GB,202109,89500,None
criticalmass,SE,21385,30,192.36.27.4,192.36.27.4,443,None,0,1,1,0,0,0,1,1,0,Tor 0.3.0.4-rc on Linux,0,0,2016-12-30,ZWIEBELFREUNDE - AT,60729,71800,[2a03:f85:8::4]:443
TotallyNinja,GB,21364,343,185.21.217.13,thisis.feralhosting.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-09-10,FERAL Feral Hosting- GB,200052,89800,None
DFRI1,SE,21318,699,171.25.193.77,tor-exit1-readme.dfri.se,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on FreeBSD,0,0,2012-02-02,DFRI-AS - SE,198093,49200,[2001:67c:289c:3::77]:443
hessel1,RO,21076,758,109.163.234.4,hessel2.torservers.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2016-09-02,VOXILITY- RO,3223,80700,None
Unnamed,NL,21050,630,192.42.116.161,anonymous.as1101.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.4-alpha on FreeBSD,0,0,2013-12-13,IP-EEND-AS IP-EEND BV- NL,1101,76400,None
iVPN,SE,20997,30,192.36.27.6,192.36.27.6,80,None,0,1,1,0,0,0,1,1,0,Tor 0.3.0.4-rc on Linux,0,0,2016-12-30,ZWIEBELFREUNDE - AT,60729,76400,[2a03:f85:8::6]:80
TykRelay02,DE,20898,2852,144.76.253.229,torrelay.kush.tyknet.dk,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.10 on FreeBSD,0,0,2016-01-03,HETZNER-AS- DE,24940,97400,None
radia2,FR,20846,756,91.121.230.212,relay2.radia.tor-relays.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-08-10,OVH - FR,16276,105000,[2001:41d0:d:22a6::1:4]:9001
peace,DE,20631,286,138.201.149.20,static.20.149.201.138.clients.your-server.de,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-08-26,HETZNER-AS- DE,24940,77600,None
PrivacyRepublic0001,FR,20622,2740,178.32.181.96,tor-exit-node.1.privacyrepublic.org,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2014-11-21,OVH- FR,16276,117000,None
HumanistischeUnion,DE,20543,824,193.24.209.70,24vitation.com,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-03-31,ASGHOSTNET - DE,12586,87300,None
GermanCraft,FR,20490,699,94.23.204.175,pve.gc-mc.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-10-05,OVH- FR,16276,80900,None
Matou19,FR,20480,21,37.59.254.151,tor.matou19.me,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.9.10 on Linux,0,0,2017-03-04,OVH - FR,16276,64200,[2001:41d0:a:72d1::50]:9001
andregorz0,RO,20454,758,109.163.234.7,edwardsnowden0.torservers.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2016-11-15,VOXILITY- RO,3223,74400,None
ins0,AT,20370,276,193.171.202.146,tor2e.ins.tor.net.eu.org,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2015-10-16,ACONET ACOnet Backbone- AT,1853,10200,None
proton,DE,20327,1245,138.201.211.234,static.234.211.201.138.clients.your-server.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-09-14,HETZNER-AS - DE,24940,88400,None
SchizoTor,FR,20274,2629,188.165.194.195,ns3096483.ip-188-165-194.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2015-10-31,OVH- FR,16276,88000,None
LetsHelpSomePPL,NL,20243,2084,80.127.109.50,tor1.testlabje.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-07-29,XS4ALL-NL Amsterdam- NL,3265,78000,None
EricCartman,US,20242,73,216.218.222.13,216.218.222.13,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.8.10 on Linux,0,0,2017-02-27,HURRICANE - Hurricane Electric- Inc.- US,6939,45100,None
splitDNA,FR,20046,1223,62.210.82.44,splitdna.com,21,143,0,0,1,1,0,1,1,1,1,Tor 0.3.1.0-alpha-dev on Linux,0,0,2014-04-08,AS12876- FR,12876,108000,[2001:bc8:3d7c::]:21
dorrisdeebrown,SE,19738,30,192.36.27.4,192.36.27.4,80,None,0,1,1,0,0,0,1,1,0,Tor 0.3.0.4-rc on Linux,0,0,2016-12-23,ZWIEBELFREUNDE - AT,60729,76500,[2a03:f85:8::4]:80
x76slvferal1,GB,19572,1539,185.21.216.157,thisis.feralhosting.com,9001,9002,0,0,1,1,0,1,1,1,1,Tor 0.3.0.3-alpha on Linux,0,0,2016-10-03,FERAL Feral Hosting- GB,200052,86000,None
SEC6xFreeBSD64,NL,19567,1041,192.87.28.28,anonymous6.sec.nl,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.9 on FreeBSD,0,0,2013-05-26,SMEERBOEL-AS SMEERBOEL BV- EU,1102,83600,None
RSF12thMarch,SE,19545,30,192.36.27.7,192.36.27.7,80,None,0,1,1,0,0,0,1,1,0,Tor 0.3.0.4-rc on Linux,0,0,2017-01-09,ZWIEBELFREUNDE- AT,60729,73900,[2a03:f85:8::7]:80
henkdefriemel,NL,19503,491,84.245.27.209,84-245-27-209.dsl.cambrium.nl,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-10-17,CAMBRIUM-AS- NL,25596,82600,None
TotorBE1,FR,19456,465,5.39.33.176,ip176.ip-5-39-33.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-10-22,OVH - FR,16276,98100,None
sowinetz,NL,19296,118,91.223.82.156,hosted-by.iws.co,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-08-08,IWSNET - SE,199968,47000,None
edwardsnowden2,RO,19277,758,109.163.234.9,edwardsnowden2.torservers.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2016-11-15,VOXILITY- RO,3223,77700,None
marylou2,FR,19043,94,89.234.157.254,marylou.nos-oignons.net,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-02-21,TETANEUTRAL-NET-AS- FR,197422,78100,[2001:67c:2608::1]:9001
Smeerboel,NL,18902,1041,192.87.28.82,anonymous6.sec.nl,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.9 on FreeBSD,0,0,2014-07-06,SMEERBOEL-AS SMEERBOEL BV- EU,1102,63900,None
0x3d005,DE,18730,487,62.138.7.171,snowden.pep-security.net,8001,8030,0,0,1,1,0,1,1,1,1,Tor 0.3.0.4-rc on Linux,0,0,2016-09-23,PLUSSERVER-AS- DE,8972,90600,None
nastja,NL,18711,764,134.19.177.109,static.hosted-by.global-layer.com,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-12-06,GLOBALLAYER- NL,49453,82300,None
ori,SK,18484,838,85.248.227.163,ori.enn.lu,9001,443,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-01-22,GTS-SK-AS Bratislava- Slovak Republic- CZ,5578,45600,[2a00:1298:8011:212::163]:9003
DC225TorExitNode,DE,18305,1440,46.101.139.248,46.101.139.248,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2017-02-08,DIGITALOCEAN-GERMANY - DE,201229,56800,None
SECxFreeBSD64,NL,18248,1969,195.169.125.226,anonymous.sec.nl,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.0.1-alpha on FreeBSD,0,0,2014-04-13,SURFNET-NL SURFnet- The Netherlands- NL,1103,71400,None
PhantomTrain7,US,18009,641,65.19.167.130,65.19.167.130,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-11-24,HURRICANE - Hurricane Electric- Inc.- US,6939,33500,None
radia3,FR,17819,756,91.121.230.214,relay3.radia.tor-relays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-08-10,OVH - FR,16276,80700,[2001:41d0:d:22a6::1:6]:443
Torratiju3,FR,17654,312,62.210.140.119,62-210-140-119.rev.poneytelecom.eu,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.10 on Linux,0,0,2017-01-25,AS12876- FR,12876,76700,None
colosimo,NL,17460,716,109.236.90.209,customer.worldstream.nl,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-05-03,WORLDSTREAM +++ Transit Imports- NL,49981,103000,None
RSFPressFreedom,SE,17386,30,192.36.27.6,192.36.27.6,443,None,0,1,1,0,0,0,1,1,0,Tor 0.3.0.4-rc on Linux,0,0,2016-12-23,ZWIEBELFREUNDE - AT,60729,69800,[2a03:f85:8::6]:443
StanMarsh,US,17232,1051,216.218.222.12,216.218.222.12,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2017-02-25,HURRICANE - Hurricane Electric- Inc.- US,6939,38300,None
BlickWinkel,NL,17190,121,80.100.250.244,coco.xs4all.nl,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.12 on Linux,0,0,2013-12-20,XS4ALL-NL Amsterdam- NL,3265,71500,None
HSLtor,SE,17188,30,192.36.27.7,192.36.27.7,443,None,0,1,1,0,0,0,1,1,0,Tor 0.3.0.4-rc on Linux,0,0,2017-01-22,ZWIEBELFREUNDE- AT,60729,75300,[2a03:f85:8::7]:443
torrelay2ph3xat,AT,17158,7,86.59.119.88,at-vie01a-tor02.ph3x.at,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.0.5-rc on Linux,0,0,2014-04-08,UTA-AS- AT,8437,75500,None
argenla,FR,16903,286,195.154.215.89,195-154-215-89.rev.poneytelecom.eu,443,80,0,1,1,0,0,1,1,1,1,Tor 0.2.9.9 on FreeBSD,0,0,2015-10-07,AS12876- FR,12876,53100,None
Necto4,RO,16630,1633,93.115.95.205,lh28409.voxility.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2015-08-28,VOXILITY - RO,3223,51700,None
rehm,SE,16510,636,62.102.148.67,62.102.148.67,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2014-05-01,TEKNIKBYRAN- SE,51815,49900,None
Cloveri,NL,16448,75,84.80.80.69,ip54505045.speed.planet.nl,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-12-25,KPN This macro reflects our filtering-policy on- NL,1136,81600,None
KyleBroflovski,US,16375,1051,216.218.222.11,216.218.222.11,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2017-02-25,HURRICANE - Hurricane Electric- Inc.- US,6939,39800,None
Unnamed,DE,16342,1542,217.79.179.177,.,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2015-04-28,MYLOC-AS- DE,24961,66400,[2001:4ba0:fff9:131:6c4f::90d3]:9001
fluxe4,DE,16046,513,131.188.40.188,angmar.informatik.uni-erlangen.de,80,443,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2013-12-20,DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.- DE,680,49500,None
kramse2,DK,16011,123,185.129.62.63,tor02.zencurity.dk,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on FreeBSD,0,0,2016-01-08,ZENCURITY-NET - DK,57860,70800,[2a06:d380:0:3700::63]:9001
PiratenParteiNRW,DE,16005,768,5.199.130.188,tor.piratenpartei-nrw.de,443,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-04-08,MYLOC-AS- DE,24961,46100,[2001:4ba0:fff9:160::2]:443
Libero,US,15923,1470,64.113.32.29,tor.t-3.net,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2014-04-08,SBBSNET - Specialized Bulletin Board Systems- US,15154,23100,None
turingmachine,FR,15805,649,62.210.254.132,62-210-254-132.rev.poneytelecom.eu,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-09-21,AS12876- FR,12876,72700,None
radia1,FR,15769,756,91.121.230.210,relay1.radia.tor-relays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-08-10,OVH - FR,16276,56500,[2001:41d0:d:22a6::1:2]:443
radia5,FR,15728,756,91.121.230.218,relay5.radia.tor-relays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-08-10,OVH - FR,16276,63100,[2001:41d0:d:22a6::1:10]:443
TorNodeNET3,NO,15725,1283,185.11.180.67,exit.norway.tor-node.net,9001,80,0,1,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-03-11,STAYON - NO,16234,55700,None
marylou1,FR,15619,94,89.234.157.254,marylou.nos-oignons.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-11-18,TETANEUTRAL-NET-AS- FR,197422,57500,[2001:67c:2608::1]:443
GrmmlLitavis,FR,15578,775,163.172.194.53,par01.eu.grmml.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-02-01,AS12876- FR,12876,71900,[2001:bc8:225f:142:6c69:7461:7669:73]:9001
PhantomTrain8,US,15473,641,65.19.167.134,65.19.167.134,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2017-03-14,HURRICANE - Hurricane Electric- Inc.- US,6939,31900,None
torfoo,FR,15465,23024,212.129.42.9,212-129-42-9.rev.poneytelecom.eu,443,None,0,0,1,1,0,1,1,1,0,Tor 0.2.4.23 on Linux,0,0,2014-08-17,AS12876- FR,12876,91000,None
foobarbaz0815,DE,15373,413,185.104.140.172,host-185-104-140-172.fiberone.de,9988,None,0,0,1,1,0,1,1,1,0,Tor 0.2.9.9 on Linux,0,0,2016-12-30,NYNEX NYNEX FIBER- DE,200519,91000,None
Unnamed,US,15264,168,207.244.70.35,207.244.70.35,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-08-28,LEASEWEB-USA-WDC-01 - Leaseweb USA- Inc.- US,30633,50500,[2604:9a00:2010:a08d:10::23]:443
rejozenger,NL,15203,105,94.142.242.84,tor-exit-1.zenger.nl,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-04-10,COLOCLUE-AS Netwerkvereniging Coloclue- Amsterdam- Netherlands- NL,8283,96500,None
Necto3,RO,15009,1633,93.115.95.204,lh28409.voxility.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2015-08-28,VOXILITY- RO,3223,18700,None
kramse3,DK,14963,821,185.129.60.131,tor03.zencurity.dk,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-07-25,ZENCURITY-NET - DK,57860,53200,[2a06:d380:0:3065::131]:9001
Grogi,RO,14953,1413,185.100.85.220,185.100.85.220,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2017-02-02,FLOKINET - RO,200651,46200,None
regar42,FR,14947,510,62.210.244.146,regar42.fr,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-03-15,AS12876 - FR,12876,67300,[2001:bc8:3680:4242::1]:9001
thisisatorexitnode,GB,14896,1734,141.170.2.53,this.is.a.tor.exit-node.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2017-01-27,AQL- GB,33920,50200,[2a00:1a80:1:a0:0:74:6f:72]:443
Dhalgren,DE,14886,4000,46.165.230.5,tor-exit.dhalgren.org,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2015-08-28,LEASEWEB-- DE,28753,6790,None
torrelayautobahn,NL,14864,1150,94.75.232.242,autobahn.tsrvr.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.9 on FreeBSD,0,0,2016-06-24,LEASEWEB-NL Netherlands- NL,60781,57600,None
ccrelaycc,NL,14644,2626,95.85.8.226,95.85.8.226,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2014-07-04,DIGITALOCEAN-ASN-1- EU,200130,51800,None
